CustomerID,frequency_cal,recency_cal,T_cal,monetary_value_cal,frequency_holdout,monetary_value_holdout,duration_holdout
12346,7.0,400.0,542.0,11066.637142857144,0.0,0.0,184.0
12347,3.0,158.0,221.0,845.0733333333333,4.0,25.373163265306125,184.0
12348,3.0,190.0,255.0,495.74666666666667,1.0,103.33333333333333,184.0
12349,2.0,182.0,406.0,801.31,1.0,24.076027397260273,184.0
12350,0.0,0.0,127.0,0.0,0.0,0.0,184.0
12351,0.0,0.0,192.0,0.0,0.0,0.0,184.0
12352,5.0,130.0,209.0,352.37199999999996,3.0,20.09,184.0
12353,1.0,204.0,225.0,89.0,0.0,0.0,184.0
12354,0.0,0.0,49.0,0.0,0.0,0.0,184.0
12355,1.0,353.0,384.0,459.4,0.0,0.0,184.0
12356,4.0,179.0,241.0,1351.2224999999999,1.0,29.174999999999997,184.0
12357,0.0,0.0,205.0,0.0,1.0,47.38679389312977,184.0
12358,2.0,356.0,548.0,644.59,2.0,61.47684210526315,184.0
12359,8.0,545.0,551.0,662.3,1.0,27.39857142857143,184.0
12360,5.0,455.0,472.0,511.282,2.0,18.791428571428572,184.0
12361,3.0,395.0,499.0,134.01666666666668,0.0,0.0,184.0
12362,2.0,513.0,555.0,487.17,8.0,20.24709523809524,184.0
12363,0.0,0.0,59.0,0.0,1.0,36.128571428571426,184.0
12365,0.0,0.0,108.0,0.0,0.0,0.0,184.0
12366,0.0,0.0,450.0,0.0,0.0,0.0,184.0
12368,0.0,0.0,445.0,0.0,0.0,0.0,184.0
12369,2.0,228.0,458.0,721.415,0.0,0.0,184.0
12370,4.0,394.0,485.0,754.5174999999999,1.0,26.40285714285714,184.0
12371,1.0,236.0,462.0,1571.74,2.0,29.96761904761905,184.0
12372,1.0,84.0,113.0,515.7,1.0,29.470769230769232,184.0
12373,2.0,362.0,490.0,344.875,0.0,0.0,184.0
12374,1.0,167.0,405.0,857.75,1.0,22.513030303030305,184.0
12376,1.0,28.0,234.0,70.6,0.0,0.0,184.0
12377,3.0,274.0,406.0,738.4533333333334,0.0,0.0,184.0
12378,0.0,0.0,379.0,0.0,1.0,18.30420091324201,184.0
12379,1.0,112.0,351.0,400.5,2.0,21.306,184.0
12380,4.0,477.0,479.0,1135.435,3.0,31.13617647058824,184.0
12383,4.0,168.0,169.0,312.46,0.0,0.0,184.0
12385,0.0,0.0,196.0,0.0,0.0,0.0,184.0
12386,1.0,29.0,183.0,143.0,0.0,0.0,184.0
12387,0.0,0.0,232.0,0.0,0.0,0.0,184.0
12388,4.0,307.0,399.0,356.27000000000004,3.0,30.990923076923078,184.0
12389,2.0,253.0,472.0,634.24,0.0,0.0,184.0
12391,3.0,198.0,479.0,533.38,1.0,4.6089,184.0
12392,0.0,0.0,408.0,0.0,0.0,0.0,184.0
12393,4.0,183.0,245.0,393.5375,1.0,20.86,184.0
12394,0.0,0.0,34.0,0.0,1.0,148.56666666666666,184.0
12395,8.0,391.0,419.0,311.615,5.0,18.817012987012987,184.0
12396,0.0,0.0,491.0,0.0,0.0,0.0,184.0
12399,4.0,431.0,461.0,354.15500000000003,2.0,19.98235294117647,184.0
12400,0.0,0.0,231.0,0.0,0.0,0.0,184.0
12401,0.0,0.0,120.0,0.0,0.0,0.0,184.0
12402,5.0,347.0,487.0,213.04000000000002,0.0,0.0,184.0
12403,0.0,0.0,338.0,0.0,1.0,85.53999999999999,184.0
12404,0.0,0.0,499.0,0.0,0.0,0.0,184.0
12406,2.0,298.0,514.0,1046.93,2.0,32.52666666666667,184.0
12407,1.0,29.0,81.0,269.65999999999997,3.0,24.2432,184.0
12408,3.0,238.0,315.0,698.57,3.0,29.724057971014492,184.0
12409,3.0,145.0,382.0,1848.0466666666669,3.0,101.58412844036697,184.0
12410,1.0,194.0,319.0,693.3299999999999,0.0,0.0,184.0
12411,0.0,0.0,226.0,0.0,0.0,0.0,184.0
12412,2.0,137.0,356.0,349.585,3.0,20.112786885245903,184.0
12413,2.0,166.0,219.0,281.95,1.0,19.42,184.0
12414,3.0,246.0,280.0,187.47,0.0,0.0,184.0
12415,13.0,324.0,344.0,5238.538461538462,9.0,168.63469248291574,184.0
12416,0.0,0.0,473.0,0.0,0.0,0.0,184.0
12417,15.0,546.0,550.0,317.13199999999995,4.0,17.5083,184.0
12418,2.0,217.0,447.0,504.34000000000003,1.0,19.664117647058823,184.0
12419,1.0,28.0,230.0,180.1,0.0,0.0,184.0
12421,2.0,186.0,322.0,185.605,3.0,19.105588235294118,184.0
12422,11.0,397.0,538.0,417.4309090909091,2.0,21.733076923076926,184.0
12423,7.0,274.0,282.0,273.71,2.0,14.055862068965517,184.0
12424,1.0,126.0,365.0,1132.53,1.0,58.69866666666667,184.0
12425,0.0,0.0,265.0,0.0,1.0,21.58888888888889,184.0
12426,1.0,468.0,479.0,582.73,0.0,0.0,184.0
